ST	penA	mtrR	porB	ponA	gyrA	parC	23S
326	494	25	100	1	2	10	100
327	494	1	8	1	2	9	2
328	22	19	8	1	100	2	100
329	14	19	1	1	2	5	100
330	14	19	8	1	5	5	100
331	494	22	8	1	100	1	100
332	517	25	8	1	5	2	100
333	228	9	12	1	7	15	100
334	166	1	8	1	5	1	100
335	288	1	8	1	1	6	100
336	21	5	4	1	100	7	100
337	23	48	100	100	1	18	100
338	166	19	13	1	100	100	100
339	166	18	100	100	100	2	100
340	294	29	1	100	100	2	100
341	494	1	8	1	100	2	100
342	228	10	14	100	100	1	100
343	20	5	14	100	100	2	100
344	285	1	3	1	1	2	100
345	291	1	8	1	7	3	100
346	287	1	12	1	7	3	100
347	285	1	8	1	7	3	100
348	14	33	8	1	2	5	100
349	20	10	14	1	100	1	100
350	294	1	13	100	100	2	100
351	23	18	14	1	100	1	100
352	294	10	100	100	100	7	100
353	228	10	3	100	100	7	100
354	228	10	8	100	100	7	100
355	23	18	3	100	100	100	100
356	166	10	100	100	1	18	100
357	294	10	14	100	100	2	100
358	166	10	3	100	1	18	100
359	23	10	14	100	100	100	100
360	166	35	3	100	1	18	100
361	494	18	14	100	100	1	100
362	294	18	3	100	100	2	100
363	21	18	8	1	100	7	100
364	20	25	4	100	100	2	100
365	22	5	1	100	100	2	100
366	20	19	5	1	100	2	100
367	19	25	4	100	100	2	100
368	23	19	8	1	100	1	100
369	18	5	3	100	100	2	100
370	228	25	13	100	100	2	100
371	20	5	100	100	6	1	100
372	285	25	6	1	100	2	100
373	285	25	8	1	100	2	100
374	20	11	14	100	100	2	100
375	285	25	9	1	100	2	100
376	228	25	4	1	3	2	100
377	285	1	8	1	1	3	100
378	17	25	4	100	100	2	100
379	288	1	7	1	1	3	100
380	517	25	100	1	5	2	100
381	288	2	3	1	1	3	100
382	166	9	4	100	100	100	100
383	20	25	1	100	1	1	100
384	294	10	100	100	100	1	100
385	288	18	3	1	1	3	100
386	288	5	1	1	1	3	100
387	288	15	100	1	1	3	100
388	20	25	4	100	100	1	100
389	288	38	1	1	7	15	100
390	20	25	1	100	100	2	100
391	22	18	3	100	100	2	100
392	285	9	1	100	100	100	100
393	20	5	3	100	100	2	100
394	166	25	14	100	100	100	100
395	285	1	3	1	100	2	100
396	288	1	3	1	1	3	2
397	289	1	1	1	1	3	100
398	166	1	3	100	100	100	2
399	20	25	1	100	100	1	2
400	166	1	100	1	100	2	2
401	23	1	8	1	1	3	100
402	228	50	100	100	100	2	100
403	288	2	100	1	1	3	100
404	288	1	10	1	1	3	100
405	20	18	14	100	100	2	100
406	18	45	100	100	100	1	100
407	23	1	8	100	100	2	100
408	21	1	1	4	1	3	100
409	166	1	8	1	1	3	100
410	294	29	100	100	100	7	100
411	166	1	1	1	1	3	100
412	20	9	11	100	100	100	100
413	166	9	5	100	100	100	100
414	20	25	1	100	100	100	100
415	166	9	3	1	100	100	2
416	23	19	3	1	7	3	100
417	166	39	11	100	100	100	2
418	23	11	100	100	100	2	2
419	645	16	1	1	1	10	100
420	23	1	8	1	7	2	100
421	21	1	8	1	1	3	1
422	18	18	100	100	100	2	100
423	294	24	1	100	100	7	100
424	20	15	100	100	100	7	6
425	228	25	12	1	7	20	100
426	23	40	13	100	7	4	100
427	23	40	100	100	7	4	100
428	287	1	8	1	7	3	100
429	166	9	11	100	7	100	100
430	23	19	100	1	7	3	100
431	294	18	14	100	7	18	100
432	294	1	1	1	100	2	100
433	228	47	3	1	7	17	100
434	294	50	1	100	100	7	100
435	1321	29	10	100	100	7	100
436	23	40	100	100	7	3	100
437	21	35	3	1	2	3	100
438	166	25	8	100	1	4	100
439	166	9	1	100	100	1	100
440	166	50	1	100	100	100	100
441	285	25	11	100	100	2	100
442	166	1	1	1	100	2	100
443	21	1	12	1	1	3	100
444	1240	1	14	1	1	17	100
445	287	10	100	1	7	20	100
446	507	19	5	1	100	2	100
447	166	9	8	1	100	100	100
448	17	15	100	100	100	7	100
449	228	18	13	1	7	2	100
450	166	9	1	1	100	100	100
451	23	19	3	1	100	2	100
452	284	19	11	1	1	9	100
453	166	9	11	100	100	1	100
454	266	9	1	100	100	100	100
455	228	10	100	1	7	15	100
456	1323	3	1	100	100	2	100
457	283	1	1	1	1	3	100
458	287	1	100	1	7	3	100
459	266	3	11	1	1	3	100
460	22	1	1	1	100	2	100
461	166	25	1	100	100	2	100
462	21	1	100	1	1	3	100
463	294	10	100	100	100	2	100
464	23	18	100	100	1	18	100
465	166	1	100	1	100	2	100
466	23	10	14	100	100	1	100
467	166	9	13	100	100	100	100
468	294	10	3	100	100	7	100
469	507	10	100	100	100	1	100
470	23	1	8	1	7	3	100
471	494	25	1	1	5	2	100
472	20	10	14	1	100	2	100
473	20	25	1	1	100	1	100
474	228	15	11	1	100	7	100
475	166	15	1	100	100	1	100
476	166	16	1	1	1	10	100
477	288	1	12	1	1	3	100
478	228	47	13	1	7	17	100
479	23	19	3	100	1	18	100
480	645	16	3	1	1	10	100
481	23	25	3	100	100	100	100
482	166	25	13	100	100	100	100
483	166	10	13	1	100	1	100
484	14	1	3	1	100	7	100
485	14	1	8	1	2	5	100
486	14	25	8	1	7	53	100
487	14	33	11	1	2	5	100
488	14	33	4	1	2	5	100
489	14	47	12	1	7	21	100
490	14	47	8	1	7	21	100
491	21	1	9	1	1	3	100
492	21	16	8	1	2	5	100
493	284	1	9	1	7	22	100
494	284	16	11	1	7	6	100
495	284	19	8	1	7	53	100
496	284	19	9	1	1	9	100
497	284	25	8	1	7	53	100
498	294	22	8	1	100	24	100
499	287	1	11	1	1	22	100
500	287	16	8	1	1	3	100
501	287	36	8	1	2	24	100
502	228	19	8	1	7	21	100
503	507	25	13	1	2	10	100
504	290	1	12	1	7	52	100
505	290	1	8	1	1	39	1
506	290	1	8	1	7	52	100
507	266	1	11	1	7	3	100
508	529	1	10	1	7	3	100
509	529	1	11	1	1	52	100
510	529	1	11	1	7	15	100
511	529	1	12	1	7	3	100
512	529	1	8	1	2	3	100
513	529	1	8	1	7	15	100
514	529	1	8	1	7	3	100
515	291	19	8	1	7	3	1
516	645	1	10	1	7	10	100
517	288	1	13	1	7	3	100
520	294	130	3	100	100	2	100
522	294	159	1	100	100	7	100
524	1321	29	1	100	100	7	100
526	22	3	1	100	100	56	100
533	23	18	3	100	100	2	100
534	23	40	1	100	7	3	100
539	291	122	1	100	7	6	100
543	357	25	3	100	100	100	100
545	17	52	100	100	100	2	100
546	20	53	3	1	100	2	100
547	23	160	14	1	100	1	100
548	22	55	100	100	100	1	100
549	166	56	1	100	100	100	2
550	166	1	100	6	100	2	100
551	17	57	100	100	100	2	100
552	285	58	8	1	100	2	100
553	228	161	100	1	7	15	100
554	287	59	8	1	7	3	100
556	21	1	8	1	1	23	100
557	291	1	12	1	7	24	100
558	21	1	8	1	1	25	100
559	23	54	100	100	1	22	100
561	285	1	12	1	1	22	100
562	294	161	8	100	100	7	100
563	22	60	100	100	100	2	100
564	166	54	100	100	100	2	100
565	18	61	100	100	11	2	100
567	228	38	12	1	7	26	100
568	22	62	100	100	100	2	100
569	166	19	26	1	5	2	100
570	166	19	8	1	5	28	100
571	21	1	8	1	12	1	100
572	288	63	8	1	1	10	100
573	23	54	13	100	100	17	100
574	17	57	1	100	100	2	100
575	166	1	8	100	3	28	100
576	23	19	13	100	1	29	100
577	23	54	100	100	1	4	100
578	23	54	14	100	100	17	100
579	285	1	13	1	1	30	100
580	23	54	19	100	1	4	100
581	23	57	11	100	1	31	100
583	507	48	1	100	1	32	10
584	20	65	2	100	100	7	100
585	21	66	8	1	100	7	100
586	294	67	14	100	100	2	100
587	21	68	8	1	100	7	100
588	18	18	14	100	100	1	12
590	288	69	100	1	1	3	100
591	228	25	100	1	7	33	100
592	23	54	13	100	1	18	100
593	20	25	100	100	100	35	6
595	20	54	13	1	100	100	100
597	288	19	12	1	2	36	100
598	166	1	8	1	1	31	100
599	166	54	14	100	100	1	100
601	23	19	8	100	14	1	100
602	23	70	11	100	5	2	100
603	166	1	23	1	5	1	100
604	294	69	100	1	100	1	100
605	166	5	100	1	3	37	100
606	23	54	14	100	1	22	100
607	20	1	8	1	5	38	100
608	17	54	14	100	100	7	100
609	288	1	8	1	1	39	100
611	228	71	13	1	7	1	100
614	285	1	20	1	1	2	100
615	285	18	3	1	1	22	100
616	166	72	3	100	2	40	100
617	228	73	10	100	1	2	100
618	494	1	12	1	2	22	100
620	228	18	13	1	15	20	100
622	228	69	13	100	7	20	100
623	18	18	14	7	100	1	100
625	23	54	14	100	1	4	100
626	23	70	8	100	5	2	100
627	266	1	11	1	1	23	100
628	294	10	13	100	7	41	100
629	20	75	14	100	100	2	100
630	507	76	3	100	100	1	100
631	21	161	12	1	16	42	100
632	228	25	13	1	7	43	100
633	23	77	4	100	1	44	100
635	285	10	27	1	1	22	100
636	166	54	13	1	2	7	100
637	285	1	13	1	2	45	100
638	285	10	100	100	2	46	13
639	228	25	8	1	7	43	100
640	287	59	100	1	7	47	100
641	284	1	8	1	7	22	100
642	287	79	8	1	2	24	100
643	529	1	100	1	7	48	100
644	18	18	14	100	100	7	14
645	23	81	100	100	100	2	100
646	23	57	14	1	100	1	100
647	166	82	13	100	100	2	100
648	166	57	3	100	100	2	100
649	23	84	14	100	100	100	100
650	17	85	8	100	100	2	100
651	228	82	14	100	100	7	100
652	17	54	8	100	100	2	100
653	228	25	4	1	7	43	100
654	166	82	3	100	100	2	100
